market,group,agent,state,seed,NetWorth,Sharpe,Sortino,MaxDD,CAGR,Calmar
DSE,Frontier,PPO,+RetFore,1,9816.509288655232,-0.0433452121918204,-0.0662455661443646,-0.1838129482403289,-0.0098388105504839,-0.0535262104471908
DSE,Frontier,PPO,+RetFore,2,10650.917641234426,0.4003313754867466,0.5579517884160017,-0.1074507529322797,0.0342413255114335,0.3186699448508779
DSE,Frontier,PPO,+RetFore,3,10709.561537558306,0.4276254305518469,0.5918654864154697,-0.0906751800437585,0.0372777331962228,0.4111128665840203
DSE,Frontier,PPO,+RetFore,4,10556.505928930752,0.3699064953014048,0.459001978544189,-0.1281699821671678,0.0293365467845192,0.2288878120153569
DSE,Frontier,PPO,+VolFore,0,8922.016371685588,-0.5593383273828123,-0.9839655476049268,-0.1804525106094963,-0.0590808921695261,-0.3274041018861258
DSE,Frontier,PPO,+VolFore,1,10077.190832388556,0.0911591757294391,0.0931982299022118,-0.1100825767345938,0.0041138194960872,0.0373703052570088
DSE,Frontier,PPO,+VolFore,2,9932.267439753428,-0.0081394770219384,-0.0084858237109929,-0.0945101958240214,-0.0036219571517733,-0.0383234541009645
DSE,Frontier,PPO,+VolFore,3,9960.91597793879,0.0164378033637099,0.0183603190034507,-0.1083436399461797,-0.0020885936269827,-0.0192774917660234
DSE,Frontier,PPO,+VolFore,4,10178.111584037364,0.1516461792120541,0.1720557183944821,-0.1278870159526078,0.0094702147344922,0.074051416900115
ETH,Crypto,BuyHold,-,-1,13655.31224979324,0.5705752183008675,0.9142631302042548,-0.6761118335027524,0.1794342896870129,0.2653914349600229
ETH,Crypto,Q-Learning,Baseline,0,9475.985842581642,-0.1690576909560761,-0.0996369924906303,-0.1812722815033654,-0.0279771739224492,-0.1543378485131247
ETH,Crypto,Q-Learning,Baseline,1,13032.098206951889,1.0802210532788483,0.9159372413673946,-0.0958287025751396,0.1498340816459975,1.5635616221241078
ETH,Crypto,Q-Learning,Baseline,2,10873.419641231156,0.322538517048044,0.3127956975976838,-0.2388201689316218,0.0451343268669333,0.1889887569741524
ETH,Crypto,Q-Learning,Baseline,3,7004.575249875226,-0.9630732605686554,-0.5876440267238753,-0.4297161651519304,-0.1711311753714444,-0.3982423498323388
ETH,Crypto,Q-Learning,Baseline,4,9862.602747520628,0.0161820819831061,0.0128044120365103,-0.2969612620721374,-0.0072672249123312,-0.0244719626445465
ETH,Crypto,Q-Learning,+RetFore,0,9080.213765134937,-0.0730493071705024,-0.0706489233525708,-0.3457344814993108,-0.049595706008308,-0.1434502737276539
ETH,Crypto,Q-Learning,+RetFore,1,8637.600158225185,-0.2323538347886365,-0.2024066529998742,-0.3450087422899495,-0.0743076956301569,-0.215379167312498
ETH,Crypto,Q-Learning,+RetFore,2,7365.467137971664,-0.5547340606293096,-0.5273907322829219,-0.4780813693414822,-0.1488846156777453,-0.3114210785551218
ETH,Crypto,Q-Learning,+RetFore,3,7575.476848526532,-0.4639320093084669,-0.4122637075226179,-0.4902237351189628,-0.1361758477504785,-0.2777830569895904
ETH,Crypto,Q-Learning,+RetFore,4,6497.218947013165,-0.6553927794243226,-0.7183725756767627,-0.5616694037491884,-0.2033444868385542,-0.362035897773408
ETH,Crypto,Q-Learning,+VolFore,0,12159.961955199336,0.6098084558658248,0.5198833553435231,-0.2614057271557534,0.1086028227536346,0.4154569371332494
ETH,Crypto,Q-Learning,+VolFore,1,11835.506528199376,0.5411441990361264,0.4645175440999649,-0.3383536093344415,0.0929086467585855,0.2745903817638208
ETH,Crypto,Q-Learning,+VolFore,2,9410.177568447993,-0.0236728788256296,-0.0247244869826891,-0.4446921101317062,-0.0315418499126506,-0.0709296369194358
ETH,Crypto,Q-Learning,+VolFore,3,11655.866435797983,0.4794787136043979,0.4281176341395346,-0.4535662477639463,0.084131767620045,0.1854894803893014
ETH,Crypto,Q-Learning,+VolFore,4,10158.45321051193,0.137886734367865,0.0977032847002882,-0.3540758676304975,0.0083225498569896,0.0235049903645263
ETH,Crypto,SARSA,Baseline,0,8972.747484475187,-0.4930402236620925,-0.2493138156924578,-0.2283493481995458,-0.0555424285025755,-0.2432344516867018
ETH,Crypto,SARSA,Baseline,1,12595.114439407222,1.2680157373416645,0.9827342347292264,-0.0412361898304425,0.1293439278537866,3.136660500945749
ETH,Crypto,SARSA,Baseline,2,9817.425325888238,-0.0201309168021992,-0.0105257538334713,-0.1258194680347365,-0.0096671959402199,-0.0768338643545539
ETH,Crypto,SARSA,Baseline,3,12730.27079509558,0.8702178932848045,0.5233204689384162,-0.186357016669123,0.1357168099873185,0.7282624094994795
ETH,Crypto,SARSA,Baseline,4,10645.435779789686,0.3512953618417269,0.2031214158309908,-0.1209832296480995,0.0335237879044436,0.2770945031115159
ETH,Crypto,SARSA,+RetFore,0,7068.829009071338,-0.7150328769121583,-0.6272907970951195,-0.4640357438861448,-0.1671313907638049,-0.360169217491254
ETH,Crypto,SARSA,+RetFore,1,7732.1504396323535,-0.4782343718421483,-0.3882196143597891,-0.4404244265788301,-0.1268028902547048,-0.2879106666253918
ETH,Crypto,SARSA,+RetFore,2,6601.618677882214,-0.7701366910348557,-0.8769454349754291,-0.4669693132649051,-0.1966213001007134,-0.421058289088799
ETH,Crypto,SARSA,+RetFore,3,5489.189426576768,-0.9827629825496812,-0.879473236386299,-0.5980331842828432,-0.2710972234881688,-0.453314683219148
ETH,Crypto,SARSA,+RetFore,4,7726.792649834098,-0.4255991060450322,-0.4190325081555276,-0.3949251779268673,-0.1271219275603115,-0.3218886378106037
ETH,Crypto,SARSA,+VolFore,0,10173.628238846435,0.1427959387711663,0.1069305471321656,-0.4031162640925744,0.0091163675356114,0.022614735121417
ETH,Crypto,SARSA,+VolFore,1,9982.9139826499,0.0774003927844632,0.0568082167268413,-0.257066535164578,-0.0009011332563774,-0.0035054475519226
ETH,Crypto,SARSA,+VolFore,2,6256.023394904217,-1.2789018762801891,-0.9379846256841314,-0.4279318615486794,-0.2190752640408928,-0.5119395953541542
ETH,Crypto,SARSA,+VolFore,3,12141.31343761935,0.6344138782617681,0.464687067322353,-0.3252667340240797,0.1077061824341603,0.3311318716836737
ETH,Crypto,SARSA,+VolFore,4,11710.08611514715,0.4827063489264267,0.4676584320912753,-0.4371810504811646,0.086787536893877,0.198516236689947
ETH,Crypto,DQN,Baseline,0,9251.019258201684,0.0641789227678898,0.0832129423518855,-0.6196144502178598,-0.0402121178850132,-0.0648986121463266
ETH,Crypto,DQN,Baseline,1,15101.99649882379,0.7210770678456409,0.8950465637851872,-0.4664835247299734,0.2427572862661513,0.5203984136549139
ETH,Crypto,DQN,Baseline,2,14273.209387165292,0.6564387765451071,0.9460820669588758,-0.3129072056135925,0.2063221153303174,0.6593715696801313
ETH,Crypto,DQN,Baseline,3,8445.174479730173,-0.0346368311251283,-0.0415778831367498,-0.583768567710918,-0.085237582343866,-0.146012627363537
ETH,Crypto,DQN,Baseline,4,8222.881798760547,-0.1018958886956343,-0.1149066677155962,-0.6516646796644127,-0.0980115794043443,-0.1504018592118064
ETH,Crypto,DQN,+RetFore,0,10755.535617085938,0.3067443421058732,0.4403727680312942,-0.5820878538363884,0.0391453703772559,0.0672499350728448
ETH,Crypto,DQN,+RetFore,1,7069.011380377883,-0.2736912370118984,-0.3188208682631476,-0.6886591574463654,-0.1671200627042822,-0.2426745667969359
ETH,Crypto,DQN,+RetFore,2,7548.049851602167,-0.1860334140574645,-0.2301324525379874,-0.5691997225856346,-0.1378260549632166,-0.2421400599720758
ETH,Crypto,DQN,+RetFore,3,4448.782546012832,-0.9928770036737382,-1.0726493593287143,-0.6875727875899013,-0.3475399477137405,-0.5054591368158148
ETH,Crypto,DQN,+RetFore,4,7936.294439423518,-0.1273712802130321,-0.1517131105269683,-0.5314685676954717,-0.1147237252309952,-0.2158617314439476
