market,group,window,span,agent,state,seed,NetWorth,Sharpe,Sortino,MaxDD,CAGR,Calmar,Turnover,Skew,Kurt,N
Bovespa,Emerging,0,2020-01-24..2021-09-17,Q-Learning,Baseline,0,5860.896262647106,-0.4859565821311128,-0.4109273598959861,-0.564450564323894,-0.2804945713409665,-0.4969338132852247,179.40878417506528,-1.6461705918172045,32.53672018492406,408
Bovespa,Emerging,0,2020-01-24..2021-09-17,Q-Learning,Baseline,1,6605.813224556321,-0.4887560714547636,-0.3766092073180374,-0.4896821347166199,-0.2254491423987707,-0.4603989535554085,125.03031612372344,-1.7050553959715715,34.16140590609286,408
Bovespa,Emerging,0,2020-01-24..2021-09-17,Q-Learning,Baseline,2,9642.533020938854,-0.0519813704321875,-0.054436950864684,-0.1744874892782443,-0.0221785172469279,-0.1271066329084154,114.7727550387299,0.3256583823562429,17.938969066881217,408
Bovespa,Emerging,0,2020-01-24..2021-09-17,Q-Learning,+VolFore,0,8152.0986667281,-0.3954446062780533,-0.4125169196508871,-0.2795864210183312,-0.1182817736765111,-0.4230597939816716,168.37941787102852,-0.3648376257376375,12.33039806177379,408
Bovespa,Emerging,0,2020-01-24..2021-09-17,Q-Learning,+VolFore,1,7135.042202865604,-0.3939122068161859,-0.3668490948607533,-0.4072469262366145,-0.1877827672418869,-0.4611029700745296,198.15898324828416,0.5793804097579593,57.99117202783406,408
Bovespa,Emerging,0,2020-01-24..2021-09-17,Q-Learning,+VolFore,2,7412.119763039863,-0.3902234100009599,-0.3787473416882259,-0.3594735738769608,-0.1684914327976453,-0.4687171604298434,198.8711814620668,0.2936264609893529,45.20371679006964,408
Bovespa,Emerging,0,2020-01-24..2021-09-17,PPO,Baseline,0,6387.887001111911,-0.0088590136954053,-0.009656944989918,-0.7416392794390253,-0.2412942066437937,-0.3253525175014772,34.907034261578175,-1.1415425030679267,17.730124826309098,408
Bovespa,Emerging,0,2020-01-24..2021-09-17,PPO,Baseline,1,7874.274786879041,0.169410663451656,0.1855531958054375,-0.7416392794390254,-0.1369191154385047,-0.1846168605604135,30.70535024373973,-1.137099652450272,17.947666429941126,408
Bovespa,Emerging,0,2020-01-24..2021-09-17,PPO,Baseline,2,6674.347388000891,-0.0116456937729331,-0.0122866647485077,-0.7317188325654005,-0.2205077827386492,-0.3013558937184237,19.66378549714469,-1.3068591060445276,21.80309549300519,408
Bovespa,Emerging,0,2020-01-24..2021-09-17,PPO,+VolFore,0,7633.032310475883,0.1355198046651524,0.1461357653928894,-0.747678891249205,-0.1533082014254433,-0.2050455124780832,41.688107059164864,-1.1749970811955883,18.80476988111193,408
Bovespa,Emerging,0,2020-01-24..2021-09-17,PPO,+VolFore,1,7357.21645028797,0.0808345590059659,0.0857869748144003,-0.7305700987112961,-0.172291744236804,-0.2358319133789977,32.036722517035365,-1.2852817402354808,21.279941643088787,408
Bovespa,Emerging,0,2020-01-24..2021-09-17,PPO,+VolFore,2,8618.440868942675,0.1848423136621927,0.2022110119305636,-0.6807073421114099,-0.0875370441431347,-0.1285971793274402,38.36030275104781,-1.0364085871807434,17.534200508857822,408
Bovespa,Emerging,1,2021-09-20..2023-05-11,BuyHold,-,-1,9931.227296795045,0.0856974732472413,0.1343936538019257,-0.2093361849140413,-0.0042429511063692,-0.0202685986089375,1.0014852545550412,0.0038967143021386,3.438355878428569,408
Bovespa,Emerging,1,2021-09-20..2023-05-11,VolTarget,-,-1,9325.551531497624,-0.1878223072237633,-0.2821577778423142,-0.1968541794581678,-0.0421106250215101,-0.2139178611152877,20.612916434086312,-0.1217224993214668,3.5152964801857323,408
Bovespa,Emerging,1,2021-09-20..2023-05-11,Const1.5x,-,-1,9585.269177971555,0.0763944838670602,0.1198063909141902,-0.3003906539206252,-0.0257604898260556,-0.0857566288756,4.689940158200272,0.0039575117728922,3.438099654253956,408
Bovespa,Emerging,1,2021-09-20..2023-05-11,Q-Learning,Baseline,0,8656.21610518649,-1.2564703800687511,-0.607548813859868,-0.1501552383639366,-0.0850749412913947,-0.5665799090180853,37.56119478047826,-5.287021957041799,71.46523078062313,408
Bovespa,Emerging,1,2021-09-20..2023-05-11,Q-Learning,Baseline,1,9805.59223315266,-0.1722990841157914,-0.1067613168376643,-0.0649869194800978,-0.0120232799318975,-0.1850107687500815,48.99822178526662,-0.528053553335373,51.055371904205934,408
Bovespa,Emerging,1,2021-09-20..2023-05-11,Q-Learning,Baseline,2,9203.108926583003,-0.2532713036696881,-0.2123566513637417,-0.1952241419757642,-0.0498793606419798,-0.2554979119740043,123.9182761182904,-0.6229809143547418,16.69689832671131,408
Bovespa,Emerging,1,2021-09-20..2023-05-11,Q-Learning,+VolFore,0,8145.65854797172,-1.0543513606716008,-0.8668094330049086,-0.1998485617155644,-0.1187110108916164,-0.5940048298169815,103.15361007578746,-0.8316067354489807,21.293644995416624,408
Bovespa,Emerging,1,2021-09-20..2023-05-11,Q-Learning,+VolFore,1,8169.353992553467,-1.0100189222626814,-0.7525616098580236,-0.2119276348928584,-0.1171323384851628,-0.552699691778409,105.30124049325369,-2.550210011749905,32.233561917061635,408
Bovespa,Emerging,1,2021-09-20..2023-05-11,Q-Learning,+VolFore,2,8987.854536104423,-0.4102621143927528,-0.3635131149330107,-0.1800056301005774,-0.0636337060583409,-0.3535095320209282,149.89822215337026,-0.6310037690027493,13.551597488367678,408
Bovespa,Emerging,1,2021-09-20..2023-05-11,PPO,Baseline,0,10598.910777236037,0.2780905334103812,0.4039839644515043,-0.3037048990608058,0.0364882431494033,0.120143742370049,56.2492557709565,0.1034249877874123,4.891991015057146,408
Bovespa,Emerging,1,2021-09-20..2023-05-11,PPO,Baseline,1,9566.73235147546,0.1006579528212789,0.1506443531137144,-0.3102711288938892,-0.0269217655716016,-0.0867685165148638,50.76641339419661,0.138178636690309,4.605604286895273,408
Bovespa,Emerging,1,2021-09-20..2023-05-11,PPO,Baseline,2,9779.735576037,0.1431670317031902,0.2220167737128772,-0.3380240979914605,-0.0136292687019212,-0.0403204055061934,27.993373116019463,0.0987392211234134,4.145343463014793,408
Bovespa,Emerging,1,2021-09-20..2023-05-11,PPO,+VolFore,0,9593.134796348711,0.1182250999993072,0.1839531368655884,-0.3465145316814137,-0.025267993325172,-0.0729204434875781,31.378509740251253,0.0937185243954913,4.004568506130998,408
Bovespa,Emerging,1,2021-09-20..2023-05-11,PPO,+VolFore,1,9358.48705523952,0.0891164282718755,0.1389118667838663,-0.3606824617750649,-0.0400276281041573,-0.1109774728359515,28.63488082912226,0.0711238409974605,3.751744244812762,408
Bovespa,Emerging,1,2021-09-20..2023-05-11,PPO,+VolFore,2,9609.911514801955,0.120418884552433,0.1847447031164246,-0.3394730835209318,-0.0242180563046705,-0.0713401370542119,37.29039316121375,0.1126576094782611,4.177114971209585,408
Bovespa,Emerging,2,2023-05-12..2024-12-27,BuyHold,-,-1,11071.80812868486,0.5227204960301861,0.8730271875339982,-0.1243228681267473,0.0647427259706086,0.5207628085291799,1.0014967192526771,0.0013802836353782,3.324092802618464,408
Bovespa,Emerging,2,2023-05-12..2024-12-27,VolTarget,-,-1,10671.29356758654,0.3754527550947963,0.643330274170765,-0.1145182253695031,0.0408438418608381,0.3566580055593353,18.97508758331921,0.0786596375106113,3.012300539762756,408
Bovespa,Emerging,2,2023-05-12..2024-12-27,Const1.5x,-,-1,11478.3285249861,0.513333798829114,0.8573261662929692,-0.1833982789522748,0.0886629608912346,0.4834448905260646,3.611417637287212,0.0013078220594741,3.3243508700540216,408
Bovespa,Emerging,2,2023-05-12..2024-12-27,Q-Learning,Baseline,0,8591.123049068214,-0.9867745338887128,-0.6192846330539274,-0.1905150340312799,-0.0893201384825455,-0.4688351181115266,74.99852799638818,0.2473989928124642,30.81107786666328,408
Bovespa,Emerging,2,2023-05-12..2024-12-27,Q-Learning,Baseline,1,10795.191953809655,0.7696368681524549,0.5435295330395244,-0.0300984764257838,0.0482731382620711,1.603839927894626,50.20720777601974,6.174373847895644,81.74795151764003,408
Bovespa,Emerging,2,2023-05-12..2024-12-27,Q-Learning,Baseline,2,10567.005315049788,0.5394257800871295,0.529141276079924,-0.0366998180887531,0.0345647235626822,0.941822749043352,46.44657146572147,5.651816956540454,71.13313427233022,408
Bovespa,Emerging,2,2023-05-12..2024-12-27,Q-Learning,+VolFore,0,9641.609514738086,-0.180144379379433,-0.2132301303158242,-0.0867317644069831,-0.0222362195930886,-0.2563791910019292,121.33964015608184,0.6497720545904772,18.64935308894126,408
Bovespa,Emerging,2,2023-05-12..2024-12-27,Q-Learning,+VolFore,1,10609.46489736292,0.4176699110322693,0.4611967324267771,-0.065935628313255,0.037124041559317,0.5630346219251992,87.69693467747408,0.6005852113967771,15.454134746645682,408
Bovespa,Emerging,2,2023-05-12..2024-12-27,Q-Learning,+VolFore,2,10121.164879276472,0.1239514964981274,0.1471463989545422,-0.1062732276886737,0.007448150790035,0.0700849212163219,112.4152697849288,0.9578078401334904,18.70658844126805,408
Bovespa,Emerging,2,2023-05-12..2024-12-27,PPO,Baseline,0,10437.148231320172,0.2373243574627278,0.3393572166980949,-0.184286291429077,0.0267127724233997,0.1449525746929216,34.21116292798466,-0.3687602785955791,6.444688669154718,408
Bovespa,Emerging,2,2023-05-12..2024-12-27,PPO,Baseline,1,10150.821061828756,0.1363357726475089,0.1810626868432593,-0.1537452254656616,0.0092659282132776,0.060268071318331,17.85797125525697,-0.8471337903354798,11.3176773000072,408
Bovespa,Emerging,2,2023-05-12..2024-12-27,PPO,Baseline,2,10399.14623266564,0.2286750093364384,0.3207173169480707,-0.1635080880625714,0.0244078586328297,0.1492761546042914,24.692237309461422,-0.4388565982226771,6.665736105383986,408
Bovespa,Emerging,2,2023-05-12..2024-12-27,PPO,+VolFore,0,10266.09911334202,0.1853454880708823,0.2471974302201444,-0.1559254697642923,0.0163126249632552,0.1046180908597544,20.41261578552773,-0.6524171229355195,10.251284366801274,408
Bovespa,Emerging,2,2023-05-12..2024-12-27,PPO,+VolFore,1,10960.880575005896,0.4001432729622022,0.6251021906991417,-0.1770303263985269,0.0581573435868032,0.3285162761071351,10.448339595975506,-0.2578548555657984,4.777056295253144,408
Bovespa,Emerging,2,2023-05-12..2024-12-27,PPO,+VolFore,2,10756.169228933555,0.3524868689471779,0.518247557845371,-0.1590592748240555,0.0459367736226996,0.2888028609034217,21.398480004308848,-0.3627119921260223,6.283236832186082,408
Bovespa,Emerging,3,2024-12-30..2026-08-19,BuyHold,-,-1,13931.938854167754,1.3140386490657077,2.0289861446374013,-0.1627025476071822,0.2266787409061055,1.3932095362882069,1.0015065223118025,-0.0185235856397854,4.278273486985031,408
Bovespa,Emerging,3,2024-12-30..2026-08-19,VolTarget,-,-1,13064.52524646318,1.1829741217570762,1.7963031166796974,-0.1408479030097627,0.1790428068224836,1.2711783632930782,20.607116387607707,-0.1061760415652706,4.443648791742444,408
Bovespa,Emerging,3,2024-12-30..2026-08-19,Const1.5x,-,-1,16111.000674429106,1.305159065563378,2.0151837873619254,-0.2370749899800465,0.3415776941478814,1.440800204927519,3.898795311010058,-0.0185941040833358,4.278278774071057,408
Bovespa,Emerging,3,2024-12-30..2026-08-19,Q-Learning,Baseline,0,9107.323923605409,-0.7222178216235791,-0.4346918373095608,-0.13964610989197,-0.0559844188001721,-0.4009021006247912,85.03921750189538,-0.6903083368088743,40.1267550895875,408
Bovespa,Emerging,3,2024-12-30..2026-08-19,Q-Learning,Baseline,1,10383.922141687704,0.3795922896124944,0.3207581338004087,-0.0606534070040085,0.0234835736133023,0.3871764963073408,49.304265876931474,3.753104473150681,76.1567421032542,408
Bovespa,Emerging,3,2024-12-30..2026-08-19,Q-Learning,Baseline,2,9411.50528264752,-0.4852403567190578,-0.5133778143713958,-0.0776832825042483,-0.0366804079750109,-0.4721789140737295,74.66168089364115,-0.1622553345990316,19.27827468904104,408
Bovespa,Emerging,3,2024-12-30..2026-08-19,Q-Learning,+VolFore,0,9514.394338800372,-0.4465312966341661,-0.3681544954140675,-0.0880734485486587,-0.0302052543012087,-0.3429552810592861,77.81502207229696,0.2061423620088141,22.32735230111909,408
Bovespa,Emerging,3,2024-12-30..2026-08-19,Q-Learning,+VolFore,1,9064.089935363336,-0.4478976214317121,-0.5191633621524266,-0.1530694117704816,-0.0587480958942395,-0.3838003636020043,177.61911433606605,0.5621352851502863,9.57396305957241,408
Bovespa,Emerging,3,2024-12-30..2026-08-19,Q-Learning,+VolFore,2,8671.728574369585,-0.9297163072552456,-0.858584250950723,-0.1392721743067,-0.0840650693223897,-0.6036027637269534,91.65290429940616,-0.0006235605349503,19.862982027884,408
Bovespa,Emerging,3,2024-12-30..2026-08-19,PPO,Baseline,0,14399.865374193432,1.0231475972109856,1.517926799759538,-0.2723662431812457,0.2519024125041718,0.9248664943240372,22.71984334992361,0.0152009272012521,4.825334372443624,408
Bovespa,Emerging,3,2024-12-30..2026-08-19,PPO,Baseline,1,14663.28437579328,1.1252772202485892,1.699804761972208,-0.2397488348000126,0.2659635884988196,1.109342569775427,23.696941381341876,0.101252026349154,5.106492065541754,408
