market,group,arm,agent,state,seed,NetWorth,Sharpe,Sortino,MaxDD,CAGR,Calmar
BTC,Crypto,A,Q-Learning,+RetFore,1,7636.408917943713,-0.5476372260430609,-0.49896974251283,-0.2989053326849907,-0.0992650084533333,-0.3320951404959184
BTC,Crypto,A,Q-Learning,+RetFore,2,8647.075275144143,-0.4437201304790167,-0.4831052126449525,-0.2217779698076103,-0.0547978739326711,-0.2470843879577421
BTC,Crypto,A,Q-Learning,+RetFore,3,7344.683038910198,-0.7914907514296188,-0.8204044988249135,-0.3412204339616472,-0.1127647547525584,-0.3304748002427737
BTC,Crypto,A,Q-Learning,+RetFore,4,7503.098164370019,-0.7401633816373636,-0.8104924532582488,-0.2817931893164358,-0.1053941138440616,-0.3740122821965606
BTC,Crypto,A,Q-Learning,+VolFore,0,7511.355029699717,-0.6969710897765714,-0.6041803377577283,-0.2938690624964161,-0.1050125675392537,-0.3573447529549901
BTC,Crypto,A,Q-Learning,+VolFore,1,6966.115711208312,-0.9080231882461876,-0.9085204741798356,-0.3257837508994815,-0.1307820305275109,-0.4014381630944554
BTC,Crypto,A,Q-Learning,+VolFore,2,6849.089767480093,-0.9420874667041936,-0.7947041458612883,-0.3587545420961422,-0.1364725977951746,-0.3804066061363512
BTC,Crypto,A,Q-Learning,+VolFore,3,6600.130746257266,-1.121076243409414,-0.9351557703782396,-0.3772048610870761,-0.1487798270299061,-0.3944271200555035
BTC,Crypto,A,Q-Learning,+VolFore,4,6261.350375089003,-1.1626815870772975,-1.1714329368479528,-0.4250931021623784,-0.1659928951827848,-0.3904859766907905
BTC,Crypto,A,PPO,Baseline,0,9188.339576783836,0.0399612647661116,0.0583643708679659,-0.4489184695527718,-0.0322854250168188,-0.0719182372890801
BTC,Crypto,A,PPO,Baseline,1,9596.931669285965,0.0737085463033869,0.108062452757255,-0.3940172691348787,-0.0158237739224128,-0.0401601025181359
BTC,Crypto,A,PPO,Baseline,2,9515.887605373731,0.0261011999830529,0.0382671308675511,-0.3432261341150113,-0.0190543156189628,-0.0555153402523901
BTC,Crypto,A,PPO,Baseline,3,9454.4667199525,0.0600121677692873,0.0827667974247223,-0.4294043117163595,-0.0215138860051591,-0.0501017000018386
BTC,Crypto,A,PPO,Baseline,4,8744.10769010402,0.0008627640427633,0.0012366060074228,-0.4916399737993928,-0.0506998559528751,-0.1031239497491704
BTC,Crypto,A,PPO,+RetFore,0,8698.975319526133,-0.0149101410268772,-0.0211396864127874,-0.4934721703149392,-0.0526024713929687,-0.1065966321044824
BTC,Crypto,A,PPO,+RetFore,1,9185.213560409293,0.0117185349869035,0.0168334437739552,-0.4090139205152943,-0.0324130788672353,-0.0792468843757704
BTC,Crypto,A,PPO,+RetFore,2,8726.080381003709,0.0052945880342743,0.0075423155177814,-0.4934237048250663,-0.0514590983911888,-0.1042898788361382
BTC,Crypto,A,PPO,+RetFore,3,9145.948134925831,0.0347153344075242,0.0490783617163776,-0.4565478744334951,-0.0340187904770871,-0.0745130847870546
BTC,Crypto,A,PPO,+RetFore,4,9140.995345937816,0.0233199826496969,0.0323845649316422,-0.4412384967331208,-0.0342216283141654,-0.0775581200812279
BTC,Crypto,A,PPO,+VolFore,0,9274.53340895308,0.0103513644227558,0.0144021741314942,-0.4094964570713535,-0.0287760416404707,-0.0702717719371778
BTC,Crypto,A,PPO,+VolFore,1,8417.259211496945,-0.0662601945424391,-0.092635595480744,-0.4858101767363144,-0.0646174652207854,-0.1330096986743965
BTC,Crypto,A,PPO,+VolFore,2,8622.658443987113,-0.0125155552827771,-0.0180012862741548,-0.49479539792983,-0.0558335114753778,-0.1128416143498228
BTC,Crypto,A,PPO,+VolFore,3,8660.284980091412,-0.0141499378558231,-0.0202844559268124,-0.491120105245925,-0.0542383318525547,-0.1104380196882489
BTC,Crypto,A,PPO,+VolFore,4,8929.164445702783,0.0059283247620974,0.0081345181206821,-0.4704320858379603,-0.0429607843454713,-0.091321968969986
BTC,Crypto,B,VTrule,-,-1,9616.935522446403,-0.0211944763815943,-0.0299708018950028,-0.2850060003274192,-0.0150289619739214,-0.0527320896984737
BTC,Crypto,B,Q-Learning,Baseline,0,8610.840728086501,-0.3472508120198028,-0.3958192825544488,-0.2496026817467985,-0.0563354036825497,-0.2257003141475526
BTC,Crypto,B,Q-Learning,Baseline,1,8239.024351621276,-0.5182742899655384,-0.6154500739303835,-0.2795378138708841,-0.0723467092515749,-0.2588083102228609
BTC,Crypto,B,Q-Learning,Baseline,2,9881.1608546299,0.005260222451637,0.0064595285823447,-0.1736335742671263,-0.0046241729266749,-0.026631790229315
BTC,Crypto,B,Q-Learning,Baseline,3,7860.677999022669,-0.4940255301148137,-0.5804260938409102,-0.3179075560132107,-0.08910011207597,-0.2802705075433538
BTC,Crypto,B,Q-Learning,Baseline,4,9378.059426880474,-0.0961134433286901,-0.1150425925874076,-0.2555649137279226,-0.0245872749068353,-0.09620755270387
BTC,Crypto,B,Q-Learning,+VolFore,0,9602.998922924184,-0.0869065624563153,-0.1070470517153665,-0.1655284581830283,-0.0155825969917943,-0.0941384772307259
BTC,Crypto,B,Q-Learning,+VolFore,1,7909.30818614062,-0.6511004859693906,-0.7774042077002682,-0.2960630086852021,-0.0869194762062727,-0.2935843845942905
BTC,Crypto,B,Q-Learning,+VolFore,2,8417.022829840835,-0.4904687921269416,-0.5290702946186902,-0.2416065841851775,-0.064627649334599,-0.2674912587845628
BTC,Crypto,B,Q-Learning,+VolFore,3,8162.126141128266,-0.6147224932392246,-0.7410078355653005,-0.2977970944007739,-0.0757130554348702,-0.254243768183721
BTC,Crypto,B,Q-Learning,+VolFore,4,8130.369771935313,-0.4964102764760342,-0.5809994457817925,-0.3446730062434035,-0.0771089082573148,-0.2237161218324067
BTC,Crypto,B,PPO,Baseline,0,9327.336404273352,0.0236218319434429,0.0337072128814599,-0.4152293139647417,-0.0266360221882904,-0.064147740278491
BTC,Crypto,B,PPO,Baseline,1,9325.946343743291,-0.0045364289899548,-0.0063068633932201,-0.3751017102784315,-0.0266922638756482,-0.0711600697735126
BTC,Crypto,B,PPO,Baseline,2,9127.541800572706,-0.0155640854479704,-0.0220773528296105,-0.4148859175015675,-0.0347729482783752,-0.0838132768826989
BTC,Crypto,B,PPO,Baseline,3,9407.98331401124,0.0309738358042767,0.0440083336536203,-0.411472939207698,-0.0233818035626114,-0.0568246446718389
BTC,Crypto,B,PPO,Baseline,4,9296.003439687993,-0.0056962432533479,-0.0078230808914655,-0.3862947239999839,-0.0279049985425935,-0.0722375865079701
BTC,Crypto,B,PPO,+VolFore,0,9143.662233794315,-0.0740705249919191,-0.0967467220279551,-0.3529564903879158,-0.0341123995202178,-0.0966476051556101
BTC,Crypto,B,PPO,+VolFore,1,8936.151694016477,-0.0878774409042828,-0.1153786156269377,-0.4052292250705453,-0.0426705102630557,-0.1052996862591095
